Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Homoglyphs,mail.g00gle.com,,?,,com,
Homoglyphs,mail.g0ogle.com,98.124.199.83,US,UNITED STATES,,com,
Homoglyphs,mail.go0gle.com,,?,,com,
Homoglyphs,mail.goog1e.com,,?,,com,
Homoglyphs,mall.google.com,,?,,com,
Homoglyphs,rnail.google.com,,?,,com,
Wrong TLD,google.ca,172.217.9.195,US,UNITED STATES,alt3.aspmx.l.google.com,ca,
Wrong TLD,google.ch,172.217.9.195,CA,CANADA,alt3.aspmx.l.google.com,ch,
Wrong TLD,google.de,172.217.9.195,US,UNITED STATES,alt1.aspmx.l.google.com,de,
Wrong TLD,google.edu,,?,,edu,
Wrong TLD,google.es,172.217.9.195,US,UNITED STATES,alt4.aspmx.l.google.com,es,
Wrong TLD,google.fr,172.217.9.195,°
,,alt2.aspmx.l.google.com,fr,
Wrong TLD,google.it,172.217.9.195,US,UNITED STATES,alt3.aspmx.l.google.com,it,
Wrong TLD,google.jp,172.217.9.195,US,UNITED STATES,alt1.aspmx.l.google.com,jp,
Wrong TLD,google.net,172.217.9.196,­ñ,,aspmx.l.google.com,net,
Wrong TLD,google.nl,172.217.9.195,US,UNITED STATES,aspmx.l.google.com,nl,
Wrong TLD,google.no,172.217.9.195,IT,ITALY,google.com.s9b2.psmtp.com,no,
Wrong TLD,google.org,216.239.32.27,US,UNITED STATES,alt2.aspmx.l.google.com,org,
Wrong TLD,google.ru,172.217.9.195,US,UNITED STATES,alt3.aspmx.l.google.com,ru,
Wrong TLD,google.se,172.217.9.195,US,UNITED STATES,alt1.aspmx.l.google.com,se,
Wrong TLD,google.us,172.217.9.196,US,UNITED STATES,,us,

