Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Bit Flipping,igbc.com.cn,103.241.230.136,,,cn,
Bit Flipping,ikbc.com.cn,121.199.4.187,CN,CHINA,mxbiz2.qq.com,cn,
Bit Flipping,isbc.com.cn,122.115.50.58,CN,CHINA,,cn,
Bit Flipping,kcbc.com.cn,47.52.126.105,CA,CANADA,,cn,
Bit Flipping,mcbc.com.cn,103.224.249.124,,mxbiz2.qq.com,cn,
Bit Flipping,ycbc.com.cn,103.241.230.134,,,cn,
Homoglyphs,icbc.c0m.cn,52.69.166.231,US,UNITED STATES,,cn,
Homoglyphs,icbc.corn.cn,,?,,cn,
Homoglyphs,lcbc.com.cn,52.69.166.231,US,UNITED STATES,,cn,
Wrong TLD,com.au,,?,,com.au,
Wrong TLD,com.ca,,?,,ca,
Wrong TLD,com.ch,144.85.10.78,PL,POLAND,,ch,
Wrong TLD,com.com,54.215.218.106,US,UNITED STATES,1.mail.com.com,com,
Wrong TLD,com.de,46.137.111.78,Ÿÿ,,aspmx3.googlemail.com,de,
Wrong TLD,com.edu,70.32.103.68,,com-edu.mail.eo.outlook.com,edu,
Wrong TLD,com.es,,?,,es,
Wrong TLD,com.fr,,?,,fr,
Wrong TLD,com.it,,?,,it,
Wrong TLD,com.jp,,?,,jp,
Wrong TLD,com.net,97.74.180.1,US,UNITED STATES,p.webcom.ctmail.com,net,
Wrong TLD,com.nl,83.98.157.102,ÿ,,s2.dancoware.nl,nl,
Wrong TLD,com.no,,?,,no,
Wrong TLD,com.org,23.23.86.44,,0.0.0.0,org,
Wrong TLD,com.ru,178.210.74.11,RU,RUSSIAN FEDERATION,,ru,
Wrong TLD,com.se,193.13.133.90,SE,SWEDEN,mx02.glesys.se,se,
Wrong TLD,com.us,,?,,us,

