Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,cosco.com,,?,mailex.cosco.com,com,
Character Omission,costc.com,85.159.233.55,US,UNITED STATES,,com,
Character Omission,costco.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,costo.com,185.53.177.30,,,com,
Character Omission,cotco.com,217.19.248.132,GB,UNITED KINGDOM,cotco-com.mail.protection.outlook.com,com,
Character Omission,cstco.com,64.207.99.151,US,UNITED STATES,abbott.recol.net,com,
Character Repeat,ccostco.com,165.160.15.20,PK,PAKISTAN,custmx.cscdns.net,com,
Character Repeat,coostco.com,208.73.210.217,DO,DOMINICAN REPUBLIC,,com,
Character Repeat,cosstco.com,103.224.182.252,,mx92.m1bp.com,com,
Character Repeat,costcco.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Repeat,costcoo.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,costtco.com,67.227.226.241,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Swap,coscto.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Swap,costoc.com,98.124.199.63,US,UNITED STATES,,com,
Character Swap,cotsco.com,46.166.189.98,GB,UNITED KINGDOM,,com,
Character Swap,csotco.com,68.178.213.61,US,UNITED STATES,,com,
Character Swap,ocstco.com,103.224.182.252,,mx92.mb5p.com,com,
Character Replacement,cistco.com,50.63.202.39,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,coatco.com,176.74.176.187,DO,DOMINICAN REPUBLIC,,com,
Character Replacement,codtco.com,208.73.210.202,US,UNITED STATES,,com,
Character Replacement,cosrco.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,costci.com,184.168.221.9,US,UNITED STATES,,com,
Character Replacement,costcp.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,costvo.com,103.224.182.252,,mx92.mb5p.com,com,
Character Replacement,costxo.com,72.52.4.122,H5,,localhost,com,
Character Replacement,cosyco.com,208.73.210.217,CA,CANADA,,com,
