Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mn.com,50.63.202.23,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,ms.com,23.40.31.82,US,UNITED STATES,mx2.morganstanley.com,com,
Character Omission,msn.cm,,?,,cm,
Character Repeat,mmsn.com,185.53.178.6,,,com,
Character Repeat,msnn.com,209.15.13.134,US,UNITED STATES,mail.b-io.co,com,
Character Repeat,mssn.com,69.172.201.153,US,UNITED STATES,,com,
Character Swap,mns.com,162.242.140.75,,aspmx.l.google.com,com,
Character Swap,smn.com,74.220.215.67,US,UNITED STATES,mail.smn.com,com,
Character Replacement,man.com,204.74.99.100,US,UNITED STATES,eu-smtp-inbound-2.mimecast.com,com,
Character Replacement,mdn.com,97.74.124.138,JP,JAPAN,mailstore1.secureserver.net,com,
Character Replacement,msb.com,31.222.162.11,GB,UNITED KINGDOM,eu-smtp-inbound-2.mimecast.com,com,
Character Replacement,msm.com,192.64.147.192,,,com,
Character Replacement,nsn.com,107.21.104.61,US,UNITED STATES,nsn-com.mail.protection.outlook.com,com,
Character Insertion,mnsn.com,103.224.182.244,,mx92.m1bp.com,com,
Character Insertion,msan.com,69.46.28.43,US,UNITED STATES,mail2b.smtproutes.org,com,
Character Insertion,msdn.com,104.43.195.251,,,com,
Character Insertion,msnb.com,185.53.178.6,,mail.h-email.net,com,
Character Insertion,msnm.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Missing Dot,msncom.com,72.52.4.122,US,UNITED STATES,localhost,com,
Missing Dot,wwwmsn.com,13.82.28.61,US,UNITED STATES,mail.messaging.microsoft.com,com,
Singular or Pluralise,msns.com,40.84.199.233,ES,SPAIN,,com,
Bit Flipping,-sn.com,,?,,com,
Bit Flipping,esn.com,45.33.14.247,,mailstore1.secureserver.net,com,
Bit Flipping,isn.com,50.56.7.42,US,UNITED STATES,d60726a.ess.barracudanetworks.com,com,
Bit Flipping,lsn.com,72.52.162.203,EU,EUROPEAN UNION,lsn.com,com,
Bit Flipping,m3n.com,72.52.4.122,US,UNITED STATES,localhost,com,
Bit Flipping,mcn.com,52.3.1.208,US,UNITED STATES,mcn-com.mail.protection.outlook.com,com,
Bit Flipping,mqn.com,75.126.100.24,US,UNITED STATES,,com,
Bit Flipping,mrn.com,199.48.201.77,US,UNITED STATES,mrn-com.mail.protection.outlook.com,com,
Bit Flipping,msf.com,,?,msf-com.mail.protection.outlook.com,com,
Bit Flipping,msj.com,211.144.151.202,CN,CHINA,mxn.mxhichina.com,com,
Bit Flipping,msl.com,,?,mx0a-0017e201.pphosted.com,com,
Bit Flipping,mso.com,109.237.218.60,NL,NETHERLANDS,mail.mso.com,com,
Bit Flipping,mwn.com,192.124.249.4,,d72016a.ess.barracudanetworks.com,com,
Bit Flipping,osn.com,80.227.101.19,AE,UNITED ARAB EMIRATES,mail.osn.com,com,
Homoglyphs,rnsn.com,69.172.201.153,VN,VIET NAM,,com,
Wrong TLD,msn.ca,13.82.28.61,PR,PUERTO RICO,,ca,
Wrong TLD,msn.ch,13.82.28.61,RU,RUSSIAN FEDERATION,,ch,
Wrong TLD,msn.de,13.82.28.61,US,UNITED STATES,,de,
Wrong TLD,msn.edu,,?,,edu,
Wrong TLD,msn.es,13.82.28.61,PR,PUERTO RICO,,es,
Wrong TLD,msn.fr,13.82.28.61,GB,UNITED KINGDOM,mail.msn.fr,fr,
Wrong TLD,msn.it,13.82.28.61,VN,VIET NAM,maila.microsoft.com,it,
Wrong TLD,msn.jp,13.82.28.61,US,UNITED STATES,,jp,
Wrong TLD,msn.net,13.82.28.61,US,UNITED STATES,,net,
Wrong TLD,msn.nl,13.82.28.61,US,UNITED STATES,mail.messaging.microsoft.com,nl,
Wrong TLD,msn.no,13.82.28.61,US,UNITED STATES,,no,
Wrong TLD,msn.org,185.53.177.31,,aspmx.l.google.com,org,
Wrong TLD,msn.ru,13.82.28.61,US,UNITED STATES,,ru,
Wrong TLD,msn.se,13.82.28.61,US,UNITED STATES,,se,
Wrong TLD,msn.us,13.82.28.61,US,UNITED STATES,,us,

