Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ube.com,208.74.201.190,US,UNITED STATES,cluster6.us.messagelabs.com,com,
Character Omission,uber.cm,185.53.178.9,,mail.h-email.net,cm,
Character Omission,ubr.com,184.168.221.57,US,UNITED STATES,smtp.secureserver.net,com,
Character Omission,uer.com,75.126.101.243,CH,SWITZERLAND,,com,
Character Repeat,ubber.com,217.160.231.204,DE,GERMANY,mx00.schlund.de,com,
Character Repeat,ubeer.com,165.160.13.20,US,UNITED STATES,custmx.cscdns.net,com,
Character Repeat,uberr.com,50.63.202.22,US,UNITED STATES,smtp.secureserver.net,com,
Character Repeat,uuber.com,50.63.202.17,US,UNITED STATES,aspmx3.googlemail.com,com,
Character Swap,buer.com,62.156.253.30,DE,GERMANY,,com,
Character Swap,ubre.com,66.206.163.84,US,UNITED STATES,mx2.propertyminder.com,com,
Character Swap,uebr.com,69.172.201.153,CA,CANADA,,com,
Character Replacement,iber.com,108.167.187.123,Â@,,aspmx.l.google.com,com,
Character Replacement,ubee.com,66.96.149.32,US,UNITED STATES,mx.ubee.com,com,
Character Replacement,ubet.com,203.3.76.24,AU,AUSTRALIA,smtp1.tattsgroup.com,com,
Character Replacement,ubrr.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Replacement,ubwr.com,,?,mx.ym.163.com,com,
Character Replacement,uner.com,192.241.171.49,,mx-caprica.easydns.com,com,
Character Replacement,uver.com,209.213.97.222,US,UNITED STATES,,com,
Character Replacement,yber.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,ubere.com,,?,mailstore1.secureserver.net,com,
Character Insertion,ubert.com,85.214.99.72,DE,GERMANY,mail-in.1a-surfen.de,com,
Character Insertion,ubewr.com,50.63.47.1,¸¤,,,com,
Character Insertion,ubner.com,184.168.221.104,US,UNITED STATES,,com,
Character Insertion,ubver.com,,?,,com,
Character Insertion,uiber.com,185.53.178.6,,mail.h-email.net,com,
Character Insertion,uyber.com,93.89.226.17,TR,TURKEY,mx,com,
Missing Dot,ubercom.com,,?,,com,
Missing Dot,wwwuber.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Singular or Pluralise,ubers.com,176.74.176.187,DO,DOMINICAN REPUBLIC,,com,
Vowel Swap,ubar.com,69.172.201.153,CA,CANADA,,com,
Vowel Swap,ubir.com,23.23.174.132,US,UNITED STATES,,com,
Vowel Swap,ubor.com,162.243.10.151,,,com,
Vowel Swap,ubur.com,104.28.24.68,,mx2.zoho.com,com,
Bit Flipping,5ber.com,52.71.185.125,Ba,,,com,
Bit Flipping,eber.com,207.192.71.45,IL,ISRAEL,mx.motives.com,com,
Bit Flipping,qber.com,216.21.239.197,CA,CANADA,p.webcom.ctmail.com,com,
Bit Flipping,tber.com,216.104.165.31,US,UNITED STATES,aspmx5.googlemail.com,com,
Bit Flipping,ubdr.com,50.200.250.15,US,UNITED STATES,,com,
Bit Flipping,ube2.com,,?,,com,
Bit Flipping,ubeb.com,209.61.212.161,US,UNITED STATES,smtp.getontheweb.com,com,
Bit Flipping,ubep.com,207.148.248.143,US,UNITED STATES,,com,
Bit Flipping,ubes.com,176.74.176.187,PK,PAKISTAN,,com,
Bit Flipping,ubev.com,,?,,com,
Bit Flipping,ubez.com,72.52.4.119,US,UNITED STATES,localhost,com,
Bit Flipping,ubgr.com,69.172.201.153,NL,NETHERLANDS,,com,
Bit Flipping,ubmr.com,141.8.224.25,ES,SPAIN,,com,
Bit Flipping,ucer.com,192.185.91.194,,ucer.com,com,
Bit Flipping,ufer.com,173.254.90.224,US,UNITED STATES,fallbackmx.spamexperts.eu,com,
Bit Flipping,ujer.com,,?,,com,
Bit Flipping,urer.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,wber.com,54.183.99.63,US,UNITED STATES,,com,
Wrong TLD,uber.ca,104.152.168.17,,uber.ca,ca,
Wrong TLD,uber.ch,,?,mx2.vtx.ch,ch,
Wrong TLD,uber.de,95.130.17.36,DE,GERMANY,mail.uber.de,de,
Wrong TLD,uber.edu,,?,,edu,
Wrong TLD,uber.es,5.249.158.45,,,es,
Wrong TLD,uber.fr,213.186.33.5,FR,FRANCE,redirect.ovh.net,fr,
Wrong TLD,uber.it,62.149.128.163,IT,ITALY,mx.uber.it,it,
Wrong TLD,uber.jp,202.181.97.36,JP,JAPAN,uber.jp,jp,
Wrong TLD,uber.net,50.56.81.119,US,UNITED STATES,mail.b-io.co,net,
Wrong TLD,uber.nl,,?,,nl,
Wrong TLD,uber.no,194.63.248.95,NO,NORWAY,mx.domeneshop.no,no,
Wrong TLD,uber.org,69.194.39.80,US,UNITED STATES,,org,
Wrong TLD,uber.ru,90.156.201.38,RU,RUSSIAN FEDERATION,mx1.masterhost.ru,ru,
Wrong TLD,uber.se,,?,,se,
Wrong TLD,uber.us,184.168.221.45,US,UNITED STATES,mailstore1.secureserver.net,us,

