Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,bg.com,192.100.74.228,,,com,
Character Omission,bgr.cm,,?,,cm,
Character Omission,br.com,204.13.84.106,US,UNITED STATES,mx-01.emailme.com,com,
Character Repeat,bbgr.com,,?,alt1.aspmx.l.google.com,com,
Character Repeat,bggr.com,212.227.50.58,DE,GERMANY,mx00.kundenserver.de,com,
Character Repeat,bgrr.com,107.180.47.65,,alt1.aspmx.l.google.com,com,
Character Swap,brg.com,54.236.189.61,US,UNITED STATES,smtp6.am.jll.com,com,
Character Swap,gbr.com,23.253.107.186,,mx1.netsolmail.net,com,
Character Replacement,bfr.com,63.240.145.37,US,UNITED STATES,bfr-com.mail.protection.outlook.com,com,
Character Replacement,bge.com,216.99.176.37,US,UNITED STATES,esa-omf-101.exeloncorp.com,com,
Character Replacement,bgt.com,,?,,com,
Character Replacement,bhr.com,162.209.78.67,,aspmx3.googlemail.com,com,
Character Replacement,ngr.com,50.63.202.16,CH,SWITZERLAND,199.72.30.130,com,
Character Replacement,vgr.com,130.211.173.211,,alt4.aspmx.l.google.com,com,
Character Insertion,bgfr.com,69.172.201.153,E­,,,com,
Character Insertion,bghr.com,203.78.142.12,IN,INDIA,,com,
Character Insertion,bgre.com,217.19.248.132,GB,UNITED KINGDOM,mail.idp365.net,com,
Character Insertion,bgrt.com,,?,qiye163mx01.mxmail.netease.com,com,
Character Insertion,bngr.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,bvgr.com,185.53.178.9,,mail.h-email.net,com,
Missing Dot,bgrcom.com,,?,,com,
Missing Dot,wwwbgr.com,,?,,com,
Singular or Pluralise,bgrs.com,104.198.6.168,,mx1.efwmx.net,com,
Bit Flipping,bcr.com,75.126.100.26,US,UNITED STATES,,com,
Bit Flipping,ber.com,69.46.0.196,US,UNITED STATES,mx94.mb1p.com,com,
Bit Flipping,bg2.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,bgb.com,74.220.219.53,US,UNITED STATES,bgb.com,com,
Bit Flipping,bgp.com,209.104.56.26,US,UNITED STATES,,com,
Bit Flipping,bgs.com,192.252.149.23,,bgs.com.2.arsmtp.com,com,
Bit Flipping,bgv.com,206.188.193.218,US,UNITED STATES,p.webcom.ctmail.com,com,
Bit Flipping,bgz.com,184.106.55.84,US,UNITED STATES,aspmx.l.google.com,com,
Bit Flipping,bor.com,54.231.185.27,US,UNITED STATES,,com,
Bit Flipping,bwr.com,75.126.102.249,US,UNITED STATES,,com,
Bit Flipping,cgr.com,50.205.153.166,US,UNITED STATES,,com,
Bit Flipping,fgr.com,104.160.171.71,,,com,
Bit Flipping,jgr.com,167.182.60.125,US,UNITED STATES,mxb-00137901.gslb.pphosted.com,com,
Bit Flipping,rgr.com,,?,,com,
Wrong TLD,bgr.ca,192.185.100.132,,bgr.ca,ca,
Wrong TLD,bgr.ch,194.88.197.19,CH,SWITZERLAND,mailgate2.begasoft.ch,ch,
Wrong TLD,bgr.de,,?,mail03.bgr.de,de,
Wrong TLD,bgr.edu,,?,,edu,
Wrong TLD,bgr.es,217.76.142.88,ES,SPAIN,smtp-02.servidoresdns.net,es,
Wrong TLD,bgr.fr,,?,,fr,
Wrong TLD,bgr.it,72.52.4.122,US,UNITED STATES,localhost,it,
Wrong TLD,bgr.jp,52.210.8.34,RU,RUSSIAN FEDERATION,mx1.jimdo.com,jp,
Wrong TLD,bgr.net,69.46.28.43,US,UNITED STATES,mail2b.smtproutes.org,net,
Wrong TLD,bgr.nl,149.210.178.167,RO,ROMANIA,filter1.ibarracuda.nl,nl,
Wrong TLD,bgr.no,,?,bgr-no.mail.protection.outlook.com,no,
Wrong TLD,bgr.org,72.47.224.64,US,UNITED STATES,us-smtp-inbound-2.mimecast.com,org,
Wrong TLD,bgr.ru,185.53.179.40,,,ru,
Wrong TLD,bgr.se,194.9.94.86,SE,SWEDEN,mail.dateaservices.se,se,
Wrong TLD,bgr.us,205.178.189.131,US,UNITED STATES,smtp1-mke.securence.com,us,

