Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,at.com,,?,,com,
Character Omission,att.cm,,?,,cm,
Character Repeat,aatt.com,54.225.195.188,US,UNITED STATES,p.webcom.ctmail.com,com,
Character Repeat,attt.com,103.224.182.252,,mx92.mb5p.com,com,
Character Swap,tat.com,91.206.156.43,FR,FRANCE,smtpav.hosteam.fr,com,
Character Replacement,art.com,204.74.99.100,US,UNITED STATES,us-smtp-inbound-1.mimecast.com,com,
Character Replacement,atr.com,192.237.143.71,,cluster8.us.messagelabs.com,com,
Character Replacement,aty.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,ayt.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,stt.com,75.126.101.248,US,UNITED STATES,,com,
Double Character Replacement,arr.com,75.126.102.242,US,UNITED STATES,,com,
Double Character Replacement,ayy.com,69.172.201.153,E­,,,com,
Character Insertion,astt.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Character Insertion,atrt.com,66.96.149.21,US,UNITED STATES,mx.atrt.com,com,
Character Insertion,attr.com,206.188.193.89,US,UNITED STATES,mx1.netsolmail.net,com,
Character Insertion,atty.com,64.99.64.37,CA,CANADA,,com,
Character Insertion,atyt.com,,?,,com,
Missing Dot,attcom.com,144.160.36.42,US,UNITED STATES,,com,
Missing Dot,wwwatt.com,199.115.115.119,US,UNITED STATES,,com,
Singular or Pluralise,atts.com,23.23.174.132,US,UNITED STATES,,com,
Bit Flipping,a4t.com,192.64.147.201,,,com,
Bit Flipping,adt.com,216.224.192.243,US,UNITED STATES,adt-com.mail.protection.outlook.com,com,
Bit Flipping,apt.com,213.212.118.100,GB,UNITED KINGDOM,sungard-com.mail.protection.outlook.com,com,
Bit Flipping,at4.com,37.59.62.175,FR,FRANCE,mx4.ovh.net,com,
Bit Flipping,atd.com,23.227.38.32,,atd-com.mail.protection.outlook.com,com,
Bit Flipping,atp.com,40.118.243.133,US,UNITED STATES,m2.atp.com,com,
Bit Flipping,atu.com,209.193.44.55,US,UNITED STATES,,com,
Bit Flipping,atv.com,67.223.104.12,CA,CANADA,alt2.aspmx.l.google.com,com,
Bit Flipping,aut.com,97.65.113.169,US,UNITED STATES,mx.aut.com,com,
Bit Flipping,avt.com,192.254.235.221,,avt-com.mail.protection.outlook.com,com,
Bit Flipping,ctt.com,206.211.106.44,US,UNITED STATES,ctt-com.mail.protection.outlook.com,com,
Bit Flipping,ett.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,itt.com,199.253.125.164,DE,GERMANY,ussfa1cip-c1.ittcorp.com,com,
Bit Flipping,qtt.com,203.78.142.12,IN,INDIA,,com,
Wrong TLD,att.ca,144.160.155.53,US,UNITED STATES,,ca,
Wrong TLD,att.ch,,?,,ch,
Wrong TLD,att.de,144.160.155.53,US,UNITED STATES,,de,
Wrong TLD,att.edu,,?,,edu,
Wrong TLD,att.es,82.194.88.74,ES,SPAIN,mx.att.es,es,
Wrong TLD,att.fr,144.160.36.42,US,UNITED STATES,,fr,
Wrong TLD,att.it,144.160.36.42,US,UNITED STATES,,it,
Wrong TLD,att.jp,,?,,jp,
Wrong TLD,att.net,216.77.188.73,US,UNITED STATES,al-ip4-mx-vip1.prodigy.net,net,
Wrong TLD,att.nl,,?,mail2.nl.attemea.net,nl,
Wrong TLD,att.no,,?,,no,
Wrong TLD,att.org,69.162.166.13,US,UNITED STATES,att-org.mail.protection.outlook.com,org,
Wrong TLD,att.ru,62.109.10.114,RU,RUSSIAN FEDERATION,mx.yandex.net,ru,
Wrong TLD,att.se,,?,,se,
Wrong TLD,att.us,144.160.155.43,US,UNITED STATES,,us,

