Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,zaa.com,72.52.4.120,US,UNITED STATES,localhost,com,
Character Omission,zar.com,8.44.193.101,US,UNITED STATES,mx1.icontech.com,com,
Character Omission,zara.cm,199.59.242.150,CN,CHINA,mx76.mb1p.com,cm,
Character Omission,zra.com,198.74.59.39,,aspmx2.googlemail.com,com,
Character Repeat,zaara.com,,?,,com,
Character Repeat,zaraa.com,141.8.224.169,CA,CANADA,,com,
Character Repeat,zarra.com,158.69.143.112,US,UNITED STATES,,com,
Character Repeat,zzara.com,82.98.160.202,ES,SPAIN,mail.zzara.com,com,
Character Swap,azra.com,198.185.159.145,,aspmx.l.google.com,com,
Character Swap,zaar.com,208.91.197.39,JP,JAPAN,reh001-3.rex001.exchangebyregister.com,com,
Character Swap,zraa.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,xara.com,54.78.167.117,US,UNITED STATES,xara-com.mail.protection.outlook.com,com,
Character Replacement,zaea.com,69.172.201.153,SD,SUDAN,,com,
Character Replacement,zars.com,192.241.171.49,,zars-com.mail.protection.outlook.com,com,
Character Replacement,zata.com,47.52.114.151,CA,CANADA,,com,
Character Replacement,zsra.com,67.195.197.75,US,UNITED STATES,mx-biz.mail.am0.yahoodns.net,com,
Character Insertion,zaras.com,66.96.149.20,US,UNITED STATES,mx.zaras.com,com,
Character Insertion,zarea.com,98.124.251.167,GB,UNITED KINGDOM,mx.zarea.com.cust.a.hostedemail.com,com,
Character Insertion,zarta.com,216.97.235.40,US,UNITED STATES,zarta.com,com,
Character Insertion,zasra.com,104.27.135.1,,aspmx3.googlemail.com,com,
Character Insertion,zxara.com,,?,,com,
Missing Dot,wwwzara.com,176.74.176.187,°J,,,com,
Missing Dot,zaracom.com,54.183.99.63,US,UNITED STATES,,com,
Vowel Swap,zere.com,66.46.183.5,CA,CANADA,zere.com.mx3-na.mailanyone.net,com,
Vowel Swap,ziri.com,208.65.116.85,US,UNITED STATES,mail.zacks.com,com,
Vowel Swap,zoro.com,52.216.80.90,US,UNITED STATES,zoro-com.mail.protection.outlook.com,com,
Vowel Swap,zuru.com,118.139.175.1,SG,SINGAPORE,zuru-com.mail.protection.partner.outlook.cn,com,
Bit Flipping,jara.com,209.200.242.221,US,UNITED STATES,sitemail.everyone.net,com,
Bit Flipping,rara.com,199.59.242.150,CN,CHINA,mailserver.rara.com,com,
Bit Flipping,za2a.com,,?,,com,
Bit Flipping,zaba.com,193.111.200.151,GB,UNITED KINGDOM,mail-in-2.lb.gradwell.net,com,
Bit Flipping,zapa.com,,?,,com,
Bit Flipping,zarc.com,97.64.192.110,US,UNITED STATES,zarc-com.mail.protection.outlook.com,com,
Bit Flipping,zare.com,217.146.91.6,GB,UNITED KINGDOM,mail.zare.com,com,
Bit Flipping,zari.com,199.59.242.150,SG,SINGAPORE,mx76.mb1p.com,com,
Bit Flipping,zarq.com,68.71.131.28,US,UNITED STATES,iprog-com.p20.spamhero.net,com,
Bit Flipping,zasa.com,162.220.52.104,,ice2.zasa.com,com,
Bit Flipping,zava.com,184.73.237.244,US,UNITED STATES,aspmx.l.google.com,com,
Bit Flipping,zaza.com,204.90.71.145,US,UNITED STATES,mailin-02.mgtinternet.com,com,
Bit Flipping,zcra.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,zera.com,204.90.52.225,US,UNITED STATES,alt1.aspmx.l.google.com,com,
Bit Flipping,zira.com,184.168.221.63,US,UNITED STATES,smtp.secureserver.net,com,
Bit Flipping,zqra.com,47.52.91.24,CA,CANADA,,com,
Wrong TLD,zara.ca,54.228.184.205,US,UNITED STATES,cluster8a.eu.messagelabs.com,ca,
Wrong TLD,zara.ch,54.228.184.205,US,UNITED STATES,,ch,
Wrong TLD,zara.de,54.228.184.205,US,UNITED STATES,cluster8a.eu.messagelabs.com,de,
Wrong TLD,zara.edu,,?,,edu,
Wrong TLD,zara.es,54.228.184.205,US,UNITED STATES,,es,
Wrong TLD,zara.fr,54.228.184.205,PL,POLAND,mxbackup.entreprises.cegetel.fr,fr,
Wrong TLD,zara.it,54.228.184.205,US,UNITED STATES,dns1.nominalia.com,it,
Wrong TLD,zara.jp,54.228.184.205,RU,RUSSIAN FEDERATION,,jp,
Wrong TLD,zara.net,23.40.69.30,US,UNITED STATES,cluster8a.eu.messagelabs.com,net,
Wrong TLD,zara.nl,54.228.184.205,US,UNITED STATES,relay-2.tiscali.nl,nl,
Wrong TLD,zara.no,54.228.184.205,US,UNITED STATES,,no,
Wrong TLD,zara.org,173.254.28.68,US,UNITED STATES,alt2.aspmx.l.google.com,org,
Wrong TLD,zara.ru,92.53.96.114,RU,RUSSIAN FEDERATION,mx2.timeweb.ru,ru,
Wrong TLD,zara.se,54.228.184.205,US,UNITED STATES,smtp1.mail.ascio.net,se,
Wrong TLD,zara.us,54.228.184.205,US,UNITED STATES,,us,

