Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,tb.co.uk,85.233.160.22,CA,CANADA,fwd0.hosts.co.uk,co.uk,
Character Omission,ts.co.uk,52.58.78.16,FR,FRANCE,mail.mailer-host.com,co.uk,
Character Repeat,tsbb.co.uk,103.224.182.243,,park-mx.above.com,co.uk,
Character Repeat,tssb.co.uk,185.53.178.7,,mail.h-email.net,co.uk,
Character Repeat,ttsb.co.uk,94.136.40.51,RU,RUSSIAN FEDERATION,mail.ipsmedia.co.uk,co.uk,
Character Swap,stb.co.uk,89.145.112.13,GB,UNITED KINGDOM,,co.uk,
Character Swap,tbs.co.uk,94.136.40.82,GB,UNITED KINGDOM,mail2.tbsmobility.com,co.uk,
Character Replacement,rsb.co.uk,,?,,co.uk,
Character Replacement,tab.co.uk,54.192.55.92,US,UNITED STATES,aspmx2.googlemail.com,co.uk,
Character Replacement,tdb.co.uk,185.53.179.8,,mail.h-email.net,co.uk,
Character Replacement,tsn.co.uk,,?,,co.uk,
Character Replacement,tsv.co.uk,72.52.4.119,US,UNITED STATES,localhost,co.uk,
Character Replacement,ysb.co.uk,,?,,co.uk,
Character Insertion,trsb.co.uk,81.27.85.21,GB,UNITED KINGDOM,trsb.co.uk,co.uk,
Character Insertion,tsab.co.uk,185.119.173.31,,mail3.eqx.gridhost.co.uk,co.uk,
Character Insertion,tsbn.co.uk,94.136.40.82,GB,UNITED KINGDOM,mx0.123-reg.co.uk,co.uk,
Character Insertion,tsbv.co.uk,,?,,co.uk,
Character Insertion,tsdb.co.uk,,?,mx2.idnet.net,co.uk,
Character Insertion,tysb.co.uk,,?,,co.uk,
Missing Dot,wwwtsb.co.uk,85.17.25.242,NL,NETHERLANDS,,co.uk,
Singular or Pluralise,tsbs.co.uk,54.194.136.128,US,UNITED STATES,a.mx.verygoodemail.com,co.uk,
Bit Flipping,4sb.co.uk,,?,,co.uk,
Bit Flipping,dsb.co.uk,83.223.118.30,GB,UNITED KINGDOM,mx1.email-cluster.com,co.uk,
Bit Flipping,psb.co.uk,52.212.100.134,US,UNITED STATES,,co.uk,
Bit Flipping,t3b.co.uk,,?,,co.uk,
Bit Flipping,tcb.co.uk,94.136.40.82,GB,UNITED KINGDOM,mx0.123-reg.co.uk,co.uk,
Bit Flipping,tqb.co.uk,82.113.145.122,GB,UNITED KINGDOM,,co.uk,
Bit Flipping,trb.co.uk,,?,mailhost.trb.co.uk,co.uk,
Bit Flipping,tsb.co.tk,,?,,tk,
Bit Flipping,tsc.co.uk,159.253.211.12,GB,UNITED KINGDOM,tsc-co-uk.mail.protection.outlook.com,co.uk,
Bit Flipping,tsf.co.uk,72.52.4.119,US,UNITED STATES,localhost,co.uk,
Bit Flipping,tsj.co.uk,82.113.145.122,GB,UNITED KINGDOM,,co.uk,
Bit Flipping,tsr.co.uk,217.160.0.77,DE,GERMANY,mx00.1and1.co.uk,co.uk,
Bit Flipping,twb.co.uk,,?,,co.uk,
Bit Flipping,usb.co.uk,31.222.162.35,GB,UNITED KINGDOM,,co.uk,
Bit Flipping,vsb.co.uk,77.68.43.120,GB,UNITED KINGDOM,,co.uk,
Wrong TLD,tsb.ca,103.224.182.219,,park-mx.above.com,ca,
Wrong TLD,tsb.ch,72.52.4.119,US,UNITED STATES,localhost,ch,
Wrong TLD,tsb.com,54.245.243.203,US,UNITED STATES,smtp.autozone.com,com,
Wrong TLD,tsb.de,213.164.155.27,RU,RUSSIAN FEDERATION,ftp2.tsb.de,de,
Wrong TLD,tsb.edu,68.68.249.36,US,UNITED STATES,,edu,
Wrong TLD,tsb.es,72.52.4.119,US,UNITED STATES,localhost,es,
Wrong TLD,tsb.fr,195.167.195.196,BB,BARBADOS,relay1.completel.fr,fr,
Wrong TLD,tsb.it,,?,mail.tsb.it,it,
Wrong TLD,tsb.jp,210.143.104.31,JP,JAPAN,p00015.mngsv.jp,jp,
Wrong TLD,tsb.net,69.172.201.153,ÐI,,,net,
Wrong TLD,tsb.nl,82.94.214.144,SE,SWEDEN,smtp2.byte.nl,nl,
Wrong TLD,tsb.no,194.63.248.52,NO,NORWAY,scanhe.telenor.net,no,
Wrong TLD,tsb.org,208.73.211.70,US,UNITED STATES,,org,
Wrong TLD,tsb.ru,72.52.4.120,US,UNITED STATES,,ru,
Wrong TLD,tsb.se,,?,,se,
Wrong TLD,tsb.us,72.52.4.119,US,UNITED STATES,localhost,us,
Wrong SLD,tsb.ac.uk,,?,,ac.uk,
Wrong SLD,tsb.bl.uk,,?,,bl.uk,
Wrong SLD,tsb.british-library.uk,,?,,british-library.uk,
Wrong SLD,tsb.gov.uk,85.233.160.22,GB,UNITED KINGDOM,athena.hosts.co.uk,gov.uk,
Wrong SLD,tsb.icnet.uk,,?,,icnet.uk,
Wrong SLD,tsb.jet.uk,,?,,jet.uk,
Wrong SLD,tsb.ltd.uk,,?,,ltd.uk,
Wrong SLD,tsb.me.uk,,?,,me.uk,
Wrong SLD,tsb.mod.uk,,?,,mod.uk,
Wrong SLD,tsb.net.uk,,?,,net.uk,
Wrong SLD,tsb.nhs.uk,,?,mail.nhs.uk,nhs.uk,
Wrong SLD,tsb.nic.uk,,?,,nic.uk,
Wrong SLD,tsb.nls.uk,,?,,nls.uk,
Wrong SLD,tsb.org.uk,,?,,org.uk,
Wrong SLD,tsb.parliament.uk,,?,,parliament.uk,
Wrong SLD,tsb.plc.uk,,?,,plc.uk,
Wrong SLD,tsb.police.uk,,?,,police.uk,
Wrong SLD,tsb.sch.uk,,?,,sch.uk,

