Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,d.com,,?,,com,
Character Omission,db.cm,,?,,cm,
Character Repeat,dbb.com,,?,dbb-com.mail.protection.outlook.com,com,
Character Repeat,ddb.com,66.245.167.3,US,UNITED STATES,mxb-00202801.gslb.pphosted.com,com,
Character Swap,bd.com,184.154.210.187,US,UNITED STATES,mxb-0017d901.gslb.pphosted.com,com,
Character Replacement,dn.com,54.223.34.254,US,UNITED STATES,mx01.ufhost.com,com,
Character Replacement,dv.com,208.73.211.70,US,UNITED STATES,,com,
Character Replacement,fb.com,31.13.69.228,IE,IRELAND,mxa-00082601.gslb.pphosted.com,com,
Character Replacement,sb.com,66.54.48.24,US,UNITED STATES,mail.imgw.com,com,
Character Insertion,dbn.com,217.19.248.132,GB,UNITED KINGDOM,mail.idp365.net,com,
Character Insertion,dbv.com,72.52.4.119,US,UNITED STATES,localhost,com,
Character Insertion,dfb.com,198.49.23.144,,dfb-com.mail.protection.outlook.com,com,
Character Insertion,dsb.com,,?,,com,
Missing Dot,dbcom.com,72.52.4.119,US,UNITED STATES,localhost,com,
Missing Dot,wwwdb.com,68.178.213.61,US,UNITED STATES,,com,
Singular or Pluralise,dbs.com,203.142.18.45,SG,SINGAPORE,mail6.dbs.com,com,
Bit Flipping,dc.com,170.194.156.208,US,UNITED STATES,mail.uu.net,com,
Bit Flipping,df.com,64.74.165.200,US,UNITED STATES,df-com.mail.protection.outlook.com,com,
Bit Flipping,dj.com,205.203.135.49,US,UNITED STATES,mailg.dj.com,com,
Bit Flipping,dr.com,204.74.99.101,US,UNITED STATES,mx01.mail.com,com,
Bit Flipping,eb.com,208.185.238.85,US,UNITED STATES,d127087b.ess.barracudanetworks.com,com,
Bit Flipping,lb.com,98.158.52.206,US,UNITED STATES,mxb-00204f01.gslb.pphosted.com,com,
Bit Flipping,tb.com,170.178.178.52,US,UNITED STATES,,com,
Homoglyphs,clb.com,185.53.177.30,,,com,
Wrong TLD,db.ca,103.224.182.239,,mx92.mb5p.com,ca,
Wrong TLD,db.ch,,?,,ch,
Wrong TLD,db.de,81.200.206.214,DE,GERMANY,mailgate2.deutschebahn.com,de,
Wrong TLD,db.edu,,?,,edu,
Wrong TLD,db.es,,?,,es,
Wrong TLD,db.fr,,?,mx2.ovh.net,fr,
Wrong TLD,db.it,,?,,it,
Wrong TLD,db.jp,,?,,jp,
Wrong TLD,db.net,66.113.102.10,US,UNITED STATES,mx2-us2.ppe-hosted.com,net,
Wrong TLD,db.nl,62.221.209.224,NL,NETHERLANDS,db-nl.mail.protection.outlook.com,nl,
Wrong TLD,db.no,104.31.230.86,,db-no.mail.protection.outlook.com,no,
Wrong TLD,db.org,139.162.190.163,NL,NETHERLANDS,in2-smtp.messagingengine.com,org,
Wrong TLD,db.ru,,?,,ru,
Wrong TLD,db.se,,?,,se,
Wrong TLD,db.us,,?,,us,

