Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,mach.com,198.20.89.18,,mach-com.mail.protection.outlook.com,com,
Character Omission,matc.com,50.18.109.255,US,UNITED STATES,,com,
Character Omission,match.cm,85.25.199.30,DE,GERMANY,,cm,
Character Omission,math.com,34.195.10.10,US,UNITED STATES,,com,
Character Omission,mtch.com,104.237.142.246,,,com,
Character Repeat,maatch.com,37.48.65.136,Cæ,,,com,
Character Repeat,matcch.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Character Repeat,matchh.com,72.52.10.14,CA,CANADA,bh.markmonitor.com,com,
Character Repeat,mattch.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Character Repeat,mmatch.com,75.126.165.136,US,UNITED STATES,mx.successfulmatch.com,com,
Character Swap,amtch.com,208.131.129.136,US,UNITED STATES,amtch.com,com,
Character Swap,macth.com,69.172.201.153,CA,CANADA,,com,
Character Swap,mathc.com,209.68.15.38,US,UNITED STATES,,com,
Character Swap,mtach.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Replacement,march.com,64.6.98.185,US,UNITED STATES,mail.march.com,com,
Character Replacement,matcg.com,52.0.7.30,CN,CHINA,,com,
Character Replacement,matcj.com,23.22.216.234,US,UNITED STATES,,com,
Character Replacement,matvh.com,46.166.189.98,UA,UKRAINE,,com,
Character Replacement,matxh.com,96.45.82.60,US,UNITED STATES,,com,
Character Replacement,maych.com,98.124.199.68,US,UNITED STATES,,com,
Character Replacement,mstch.com,23.22.216.234,US,UNITED STATES,,com,
Character Replacement,natch.com,67.227.226.241,US,UNITED STATES,mx174.mb5p.com,com,
Character Insertion,mastch.com,185.53.179.6,,mail.h-email.net,com,
Character Insertion,matchg.com,192.155.81.104,,mail.b-io.co,com,
Character Insertion,matchj.com,98.124.245.24,,,mail.b-io.co,com,
Character Insertion,matcvh.com,78.41.204.28,NL,NETHERLANDS,,com,
Character Insertion,matcxh.com,185.53.178.8,,mail.h-email.net,com,
Character Insertion,matrch.com,209.15.13.134,CA,CANADA,mail.b-io.co,com,
Character Insertion,matych.com,141.8.224.93,CH,SWITZERLAND,,com,
Character Insertion,mnatch.com,184.168.221.9,US,UNITED STATES,smtp.secureserver.net,com,
Missing Dot,matchcom.com,,?,hermes.goc.com,com,
Missing Dot,wwwmatch.com,23.22.216.234,US,UNITED STATES,,com,
Singular or Pluralise,matches.com,216.239.34.21,US,UNITED STATES,mx01.mail.com,com,
Vowel Swap,metch.com,74.117.114.80,KY,CAYMAN ISLANDS,,com,
Vowel Swap,mitch.com,212.116.1.40,,,relay1.netnames.net,com,
Vowel Swap,motch.com,173.199.172.26,UA,UKRAINE,,com,
Vowel Swap,mutch.com,64.99.80.121,UA,UKRAINE,mx.netidentity.com.cust.hostedemail.com,com,
Homophones,mattech.com,72.52.4.122,>,,localhost,com,
Bit Flipping,-atch.com,,?,,com,
Bit Flipping,eatch.com,80.67.17.249,DE,GERMANY,mxlb.ispgateway.de,com,
Bit Flipping,iatch.com,,?,,com,
Bit Flipping,latch.com,52.84.27.223,IN,INDIA,aspmx.l.google.com,com,
Bit Flipping,ma4ch.com,,?,,com,
Bit Flipping,madch.com,69.172.201.153,US,UNITED STATES,,com,
Bit Flipping,mapch.com,52.73.71.92,US,UNITED STATES,,com,
Bit Flipping,matah.com,,?,,com,
Bit Flipping,matbh.com,52.0.7.30,US,UNITED STATES,,com,
Bit Flipping,matci.com,,?,,com,
Bit Flipping,matcl.com,14.206.12.75,KR,KOREA REPUBLIC OF,aspmx.l.google.com,com,
Bit Flipping,matcx.com,54.164.23.135,US,UNITED STATES,,com,
Bit Flipping,matgh.com,69.172.201.153,IN,INDIA,,com,
Bit Flipping,matkh.com,,?,,com,
Bit Flipping,matsh.com,98.124.199.4,.—,,,com,
Bit Flipping,mauch.com,64.99.80.121,CA,CANADA,mx.netidentity.com.cust.hostedemail.com,com,
Bit Flipping,mavch.com,138.128.118.133,,mailstore1.secureserver.net,com,
Bit Flipping,mctch.com,23.22.216.234,US,UNITED STATES,,com,
Bit Flipping,mqtch.com,103.224.182.251,,mx92.m1bp.com,com,
Bit Flipping,oatch.com,165.160.15.20,US,UNITED STATES,,com,
Homoglyphs,rnatch.com,104.18.42.254,,mail.rnatch.com,com,
Wrong TLD,match.ca,208.83.240.23,US,UNITED STATES,,ca,
Wrong TLD,match.ch,194.41.184.144,CH,SWITZERLAND,,ch,
Wrong TLD,match.de,62.23.26.42,GB,UNITED KINGDOM,mail.match.de,de,
Wrong TLD,match.edu,,?,,edu,
Wrong TLD,match.es,,?,,es,
Wrong TLD,match.fr,85.116.42.16,FR,FRANCE,smtp-01.artful.net,fr,
Wrong TLD,match.it,37.187.135.191,AT,AUSTRIA,alt1.aspmx.l.google.com,it,
Wrong TLD,match.jp,72.52.4.122,US,UNITED STATES,localhost,jp,
Wrong TLD,match.net,185.82.201.39,,emx.mail.ru,net,
Wrong TLD,match.nl,62.23.26.20,GB,UNITED KINGDOM,mail.match.nl,nl,
Wrong TLD,match.no,62.23.26.24,GB,UNITED KINGDOM,mail2.agdernett.no,no,
Wrong TLD,match.org,208.73.211.70,US,UNITED STATES,,org,
Wrong TLD,match.ru,81.177.140.12,RU,RUSSIAN FEDERATION,mail.match.ru,ru,
Wrong TLD,match.se,62.23.26.24,GB,UNITED KINGDOM,mc3.sverige.net,se,
Wrong TLD,match.us,,?,,us,

