Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,t.com,,?,,com,
Character Omission,td.cm,85.17.175.245,NL,NETHERLANDS,td.cm,cm,
Character Repeat,tdd.com,103.224.212.244,,mx92.mb5p.com,com,
Character Repeat,ttd.com,82.192.86.72,NL,NETHERLANDS,mx.spamexperts.com,com,
Character Swap,dt.com,66.180.78.90,,inbound.mail.truedefense.com,com,
Character Replacement,rd.com,40.117.154.240,US,UNITED STATES,rd-com.mail.protection.outlook.com,com,
Character Replacement,tf.com,192.64.119.12,,,com,
Character Replacement,ts.com,43.243.110.96,,,com,
Character Replacement,yd.com,216.185.85.121,CA,CANADA,primail.yd.com,com,
Character Insertion,tdf.com,159.135.25.56,US,UNITED STATES,mx3.dnsmadeeasy.com,com,
Character Insertion,tds.com,,?,,com,
Character Insertion,trd.com,119.81.170.18,SG,SINGAPORE,mail.efty.com,com,
Character Insertion,tyd.com,59.188.12.78,HK,HONG KONG,,com,
Missing Dot,tdcom.com,213.186.33.5,FR,FRANCE,mail.iritrack.fr,com,
Missing Dot,wwwtd.com,,?,,com,
Bit Flipping,4d.com,194.177.35.163,FR,FRANCE,filterb.waycom.net,com,
Bit Flipping,dd.com,61.172.246.162,CN,CHINA,mxbiz2.qq.com,com,
Bit Flipping,pd.com,174.129.25.170,US,UNITED STATES,p.webcom.ctmail.com,com,
Bit Flipping,te.com,198.175.155.8,US,UNITED STATES,te-com.mail.protection.outlook.com,com,
Bit Flipping,tl.com,216.112.198.30,US,UNITED STATES,mxb-00175601.gslb.pphosted.com,com,
Bit Flipping,tt.com,194.232.30.66,AT,AUSTRIA,mxgw6.apanet.at,com,
Bit Flipping,ud.com,89.31.143.1,DE,GERMANY,smxint2.united-domains.de,com,
Bit Flipping,vd.com,65.49.82.3,US,UNITED STATES,mail.vd.com,com,
Homoglyphs,tcl.com,113.106.202.41,CN,CHINA,mx3.tcl.com,com,
Wrong TLD,td.ca,12.130.11.180,US,UNITED STATES,,ca,
Wrong TLD,td.ch,,?,,ch,
Wrong TLD,td.de,72.52.4.119,US,UNITED STATES,localhost,de,
Wrong TLD,td.edu,67.210.98.225,US,UNITED STATES,mail.td.edu,edu,
Wrong TLD,td.es,,?,,es,
Wrong TLD,td.fr,95.142.101.112,NL,NETHERLANDS,mx01.nexthal.com,fr,
Wrong TLD,td.it,,?,,it,
Wrong TLD,td.jp,,?,,jp,
Wrong TLD,td.net,205.159.223.111,US,UNITED STATES,aspmx2.googlemail.com,net,
Wrong TLD,td.nl,77.94.248.186,NL,NETHERLANDS,tdo-nl.mail.protection.outlook.com,nl,
Wrong TLD,td.no,77.74.160.104,NO,NORWAY,alt1.aspmx.l.google.com,no,
Wrong TLD,td.org,66.227.71.166,CA,CANADA,td-org.mail.protection.outlook.com,org,
Wrong TLD,td.ru,78.110.50.135,RU,RUSSIAN FEDERATION,mx.yandex.ru,ru,
Wrong TLD,td.se,194.218.22.147,SE,SWEDEN,post.mailwashing.com,se,
Wrong TLD,td.us,,?,,us,

