Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,ig.com,195.234.39.132,GB,UNITED KINGDOM,mail1.iggroup.com,com,
Character Omission,ign.cm,,?,,cm,
Character Omission,in.com,124.153.64.24,IN,INDIA,in-com.mail.protection.outlook.com,com,
Character Repeat,iggn.com,69.16.230.42,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Repeat,ignn.com,69.221.162.221,US,UNITED STATES,smtp.secureserver.net,com,
Character Repeat,iign.com,162.243.10.151,,,com,
Character Swap,gin.com,31.169.61.103,NL,NETHERLANDS,mail10.cmhosting.nl,com,
Character Swap,ing.com,104.84.109.33,,mail201.ing.net,com,
Character Replacement,ifn.com,10.20.1.113,ZZ,RESERVED,spam.tollfreeforwarding.com,com,
Character Replacement,igb.com,66.6.44.4,US,UNITED STATES,smtp.secureserver.net,com,
Character Replacement,igm.com,,?,,com,
Character Replacement,ihn.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,ogn.com,72.52.4.122,US,UNITED STATES,localhost,com,
Character Replacement,ugn.com,72.52.129.93,US,UNITED STATES,us-smtp-inbound-1.mimecast.com,com,
Character Insertion,igfn.com,162.243.10.151,,,com,
Character Insertion,ighn.com,72.9.105.30,¸©,,,com,
Character Insertion,ignb.com,69.172.201.153,US,UNITED STATES,,com,
Character Insertion,ignm.com,68.178.213.61,US,UNITED STATES,,com,
Character Insertion,iogn.com,162.243.10.151,,,com,
Character Insertion,iugn.com,72.9.105.30,US,UNITED STATES,,com,
Missing Dot,igncom.com,185.53.178.9,,mail.h-email.net,com,
Missing Dot,wwwign.com,195.198.203.66,SE,SWEDEN,localhost.wwwign.com,com,
Singular or Pluralise,igns.com,176.74.176.187,GB,UNITED KINGDOM,,com,
Homophones,ayegn.com,,?,,com,
Homophones,eyegn.com,,?,,com,
Bit Flipping,agn.com,,?,,com,
Bit Flipping,hgn.com,,?,,com,
Bit Flipping,icn.com,104.31.69.230,,mail.icn.com,com,
Bit Flipping,ien.com,52.3.155.236,US,UNITED STATES,alt2.aspmx.l.google.com,com,
Bit Flipping,igf.com,192.155.48.66,US,UNITED STATES,mxb.mailgun.org,com,
Bit Flipping,igj.com,37.58.107.93,NL,NETHERLANDS,mail.efty.com,com,
Bit Flipping,igl.com,72.52.4.121,US,UNITED STATES,localhost,com,
Bit Flipping,igo.com,192.124.249.152,,igo-com.mail.protection.outlook.com,com,
Bit Flipping,ion.com,64.41.186.27,US,UNITED STATES,mx.zooce.com,com,
Bit Flipping,iwn.com,,?,,com,
Bit Flipping,kgn.com,45.33.14.247,,smtp.secureserver.net,com,
Bit Flipping,mgn.com,23.253.55.22,,mgn-com.mail.protection.outlook.com,com,
Bit Flipping,ygn.com,208.91.197.27,VG,VIRGIN ISLANDS (BRITISH),p.webcom.ctmail.com,com,
Homoglyphs,lgn.com,184.168.221.25,US,UNITED STATES,smtp.secureserver.net,com,
Wrong TLD,ign.ca,50.63.202.4,US,UNITED STATES,smtp.secureserver.net,ca,
Wrong TLD,ign.ch,23.236.62.147,,mta-gw.infomaniak.ch,ch,
Wrong TLD,ign.de,94.230.56.36,DE,GERMANY,mail.ign.de,de,
Wrong TLD,ign.edu,,?,,edu,
Wrong TLD,ign.es,192.148.213.40,ES,SPAIN,sweignmad001.ign.es,es,
Wrong TLD,ign.fr,149.202.112.246,DE,GERMANY,smtp3.ign.fr,fr,
Wrong TLD,ign.it,,?,,it,
Wrong TLD,ign.jp,180.37.189.48,JP,JAPAN,mx.aams6.jp,jp,
Wrong TLD,ign.net,23.21.223.54,CA,CANADA,p.webcom.ctmail.com,net,
Wrong TLD,ign.nl,95.170.95.24,NL,NETHERLANDS,mail.ign.nl,nl,
Wrong TLD,ign.no,185.53.178.9,,,no,
Wrong TLD,ign.org,212.55.205.15,CH,SWITZERLAND,web18.bestview.ch,org,
Wrong TLD,ign.ru,77.222.40.148,RU,RUSSIAN FEDERATION,mx1.spaceweb.ru,ru,
Wrong TLD,ign.se,,?,,se,
Wrong TLD,ign.us,65.98.31.169,US,UNITED STATES,alt2.aspmx.l.google.com,us,

