Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Wrong SLD,suncorp.csiro.au,,?,,csiro.au,
Wrong SLD,suncorp.edu.au,,?,,edu.au,
Wrong SLD,suncorp.gov.au,,?,,gov.au,
Wrong SLD,suncorp.id.au,,?,,id.au,
Wrong SLD,suncorp.net.au,,?,,net.au,
Wrong SLD,suncorp.nsw.au,,?,,nsw.au,
Wrong SLD,suncorp.nt.au,,?,,nt.au,
Wrong SLD,suncorp.org.au,,?,,org.au,
Wrong SLD,suncorp.qld.au,,?,,qld.au,
Wrong SLD,suncorp.sa.au,,?,,sa.au,
Wrong SLD,suncorp.tas.au,,?,,tas.au,
Wrong SLD,suncorp.vic.au,,?,,vic.au,
Wrong SLD,suncorp.wa.au,,?,,wa.au,

