Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Wrong SLD,thesun.icnet.uk,,?,,icnet.uk,
Wrong SLD,thesun.jet.uk,,?,,jet.uk,
Wrong SLD,thesun.ltd.uk,,?,,ltd.uk,
Wrong SLD,thesun.me.uk,,?,,me.uk,
Wrong SLD,thesun.mod.uk,,?,,mod.uk,
Wrong SLD,thesun.net.uk,,?,,net.uk,
Wrong SLD,thesun.nhs.uk,,?,mail.nhs.uk,nhs.uk,
Wrong SLD,thesun.nic.uk,,?,,nic.uk,
Wrong SLD,thesun.nls.uk,,?,,nls.uk,
Wrong SLD,thesun.org.uk,103.224.212.222,,mx92.mb5p.com,org.uk,
Wrong SLD,thesun.parliament.uk,,?,,parliament.uk,
Wrong SLD,thesun.plc.uk,,?,,plc.uk,
Wrong SLD,thesun.police.uk,,?,,police.uk,
Wrong SLD,thesun.sch.uk,,?,,sch.uk,

