Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,epedia.com,204.74.99.101,US,UNITED STATES,,com,
Character Omission,exedia.com,204.74.99.101,US,UNITED STATES,,com,
Character Omission,expdia.com,204.74.99.101,ES,SPAIN,,com,
Character Omission,expeda.com,204.74.99.101,US,UNITED STATES,,com,
Character Omission,expedi.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Omission,expedia.cm,85.25.199.30,DE,GERMANY,mx1.expedia.cm,cm,
Character Omission,expeia.com,204.74.99.101,US,UNITED STATES,,com,
Character Repeat,eexpedia.com,,?,,com,
Character Repeat,expeddia.com,54.221.207.100,US,UNITED STATES,mx94.mb1p.com,com,
Character Repeat,expediaa.com,,?,,com,
Character Repeat,expediia.com,,?,,com,
Character Repeat,expeedia.com,204.74.99.100,US,UNITED STATES,,com,
Character Repeat,exppedia.com,54.221.207.100,US,UNITED STATES,mx94.mb1p.com,com,
Character Repeat,exxpedia.com,46.166.189.98,ÌM,,,com,
Character Swap,epxedia.com,204.74.99.100,US,UNITED STATES,,com,
Character Swap,exepdia.com,,?,,com,
Character Swap,expdeia.com,,?,,com,
Character Swap,expedai.com,,?,,com,
Character Swap,expeida.com,204.74.99.101,US,UNITED STATES,,com,
Character Swap,xepedia.com,185.53.179.8,,mail.h-email.net,com,
Character Replacement,ecpedia.com,216.251.114.10,KR,KOREA REPUBLIC OF,,com,
Character Replacement,exoedia.com,204.74.99.100,US,UNITED STATES,,com,
Character Replacement,expedis.com,204.74.99.101,US,UNITED STATES,,com,
Character Replacement,expedoa.com,204.74.99.100,US,UNITED STATES,,com,
Character Replacement,expedua.com,204.74.99.100,ÌM,,,com,
Character Replacement,expefia.com,204.74.99.100,US,UNITED STATES,,com,
Character Replacement,expesia.com,,?,,com,
Character Replacement,exprdia.com,204.74.99.100,US,UNITED STATES,,com,
Character Replacement,expwdia.com,204.74.99.100,ÌM,,,com,
Character Replacement,ezpedia.com,204.74.99.100,US,UNITED STATES,,com,
Character Replacement,rxpedia.com,204.74.99.100,US,UNITED STATES,,com,
Character Replacement,wxpedia.com,204.74.99.100,US,UNITED STATES,,com,
Character Insertion,erxpedia.com,204.74.99.100,US,UNITED STATES,,com,
Character Insertion,ewxpedia.com,204.74.99.100,US,UNITED STATES,,com,
Character Insertion,excpedia.com,204.74.99.100,US,UNITED STATES,,com,
Character Insertion,expedfia.com,103.224.182.251,,mx92.mb5p.com,com,
Character Insertion,expedias.com,204.74.99.100,US,UNITED STATES,,com,
Character Insertion,expedioa.com,204.74.99.100,US,UNITED STATES,,com,
Character Insertion,expediua.com,204.74.99.100,US,UNITED STATES,,com,
Character Insertion,expedsia.com,103.224.182.251,,mx92.mb5p.com,com,
Character Insertion,experdia.com,204.74.99.101,US,UNITED STATES,,com,
Character Insertion,expewdia.com,,?,,com,
Character Insertion,expoedia.com,204.74.99.100,US,UNITED STATES,,com,
Character Insertion,exzpedia.com,103.224.182.251,,mx92.m1bp.com,com,
Missing Dot,expediacom.com,216.251.114.10,US,UNITED STATES,,com,
Missing Dot,wwwexpedia.com,204.74.99.100,US,UNITED STATES,,com,
Singular or Pluralise,expedium.com,72.52.4.119,US,UNITED STATES,localhost,com,
Vowel Swap,expadia.com,204.74.99.101,ÌM,,,com,
Vowel Swap,expedaa.com,50.63.202.6,ÌM,,mailstore1.secureserver.net,com,
Vowel Swap,expedea.com,204.74.99.100,US,UNITED STATES,,com,
Vowel Swap,expedie.com,204.74.99.100,US,UNITED STATES,,com,
Vowel Swap,expedii.com,184.168.221.44,US,UNITED STATES,smtp.secureserver.net,com,
Vowel Swap,expedio.com,216.251.120.22,US,UNITED STATES,,com,
Vowel Swap,expediu.com,107.160.39.9,,,com,
Vowel Swap,expidia.com,204.74.99.101,US,UNITED STATES,,com,
Vowel Swap,expodia.com,,?,,com,
Vowel Swap,expudia.com,185.53.178.6,,mail.h-email.net,com,
Homophones,expedayea.com,,?,,com,
Homophones,expedeyea.com,,?,,com,
Bit Flipping,axpedia.com,52.73.71.92,US,UNITED STATES,,com,
Bit Flipping,dxpedia.com,204.74.99.100,KR,KOREA REPUBLIC OF,,com,
Bit Flipping,e8pedia.com,,?,,com,
Bit Flipping,ehpedia.com,104.28.21.230,,mx1.idhostinger.com,com,
Bit Flipping,eppedia.com,52.71.185.125,US,UNITED STATES,,com,
Bit Flipping,ex0edia.com,204.74.99.100,US,UNITED STATES,,com,
