Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,r.com,,?,,com,
Character Omission,rt.cm,98.126.169.162,US,UNITED STATES,,cm,
Character Repeat,rrt.com,75.126.100.19,FR,FRANCE,,com,
Character Repeat,rtt.com,192.185.185.181,,mx2.sherweb2010.com,com,
Character Swap,tr.com,159.220.50.88,US,UNITED STATES,mx.mail.thomsonreuters.com,com,
Character Replacement,et.com,69.172.201.153,US,UNITED STATES,,com,
Character Replacement,rr.com,71.74.186.228,US,UNITED STATES,cdptpa-postmx01.email.rr.com,com,
Character Replacement,ry.com,40.69.210.239,US,UNITED STATES,eu-smtp-inbound-1.mimecast.com,com,
Character Replacement,tt.com,194.232.30.66,AT,AUSTRIA,mxgw6.apanet.at,com,
Character Insertion,ret.com,,?,,com,
Character Insertion,rtr.com,69.193.104.42,US,UNITED STATES,mail.rtr.com,com,
Character Insertion,rty.com,45.33.14.247,,smtp.secureserver.net,com,
Missing Dot,rtcom.com,185.53.178.6,,mail.h-email.net,com,
Missing Dot,wwwrt.com,103.224.182.218,,mx92.m1bp.com,com,
Singular or Pluralise,rts.com,216.107.193.237,US,UNITED STATES,aspmx.l.google.com,com,
Bit Flipping,2t.com,209.17.116.8,RU,RUSSIAN FEDERATION,mx05-1.sherwebcloud.com,com,
Bit Flipping,bt.com,193.113.9.164,GB,UNITED KINGDOM,smtpe1.intersmtp.com,com,
Bit Flipping,pt.com,103.237.72.191,,,com,
Bit Flipping,r4.com,185.48.90.65,,mail2.r4.com,com,
Bit Flipping,rd.com,40.117.154.240,US,UNITED STATES,rd-com.mail.protection.outlook.com,com,
Bit Flipping,rp.com,,?,,com,
Bit Flipping,ru.com,141.8.226.34,SG,SINGAPORE,cluster8.eu.messagelabs.com,com,
Bit Flipping,rv.com,198.1.27.227,,mxa-00175601.gslb.pphosted.com,com,
Bit Flipping,st.com,54.194.135.49,ö,,mxb-00178001.gslb.pphosted.com,com,
Bit Flipping,vt.com,208.73.211.70,US,UNITED STATES,,com,
Bit Flipping,zt.com,47.52.35.78,CA,CANADA,mxbiz2.qq.com,com,
Wrong TLD,rt.ca,103.224.182.239,,mx92.m1bp.com,ca,
Wrong TLD,rt.ch,,?,,ch,
Wrong TLD,rt.de,85.25.86.133,DE,GERMANY,,de,
Wrong TLD,rt.edu,,?,,edu,
Wrong TLD,rt.es,,?,,es,
Wrong TLD,rt.fr,95.142.101.112,NL,NETHERLANDS,mx02.nexthal.com,fr,
Wrong TLD,rt.it,,?,,it,
Wrong TLD,rt.jp,,?,,jp,
Wrong TLD,rt.net,8.3.131.20,US,UNITED STATES,alt2.aspmx.l.google.com,net,
Wrong TLD,rt.nl,184.168.221.11,UA,UKRAINE,smtp.secureserver.net,nl,
Wrong TLD,rt.no,89.221.250.15,SE,SWEDEN,mailgw01.isphuset.no,no,
Wrong TLD,rt.org,166.62.110.90,,smtp.secureserver.net,org,
Wrong TLD,rt.ru,87.226.162.53,RU,RUSSIAN FEDERATION,mail12.rt.ru,ru,
Wrong TLD,rt.se,,?,,se,
Wrong TLD,rt.us,,?,,us,

