Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Bit Flipping,cbwsports.com,72.52.10.14,US,UNITED STATES,bh.markmonitor.com,com,
Bit Flipping,ccssports.com,74.220.199.6,US,UNITED STATES,,com,
Bit Flipping,cfssports.com,52.71.185.125,PH,PHILIPPINES,,com,
Bit Flipping,cjssports.com,23.227.38.32,,cjssports-com.mail.protection.outlook.com,com,
Bit Flipping,crssports.com,52.73.71.92,US,UNITED STATES,,com,
Bit Flipping,gbssports.com,188.241.222.83,RO,ROMANIA,gbssports.com,com,
Bit Flipping,kbssports.com,211.233.93.105,KR,KOREA REPUBLIC OF,mail.kbs.co.kr,com,
Bit Flipping,sbssports.com,52.71.185.125,IT,ITALY,,com,
Homoglyphs,cbssp0rts.com,103.224.182.243,,mx92.m1bp.com,com,
Wrong TLD,cbssports.ca,,?,,ca,
Wrong TLD,cbssports.ch,,?,,ch,
Wrong TLD,cbssports.de,64.30.228.118,US,UNITED STATES,,de,
Wrong TLD,cbssports.edu,,?,,edu,
Wrong TLD,cbssports.es,,?,,es,
Wrong TLD,cbssports.fr,,?,,fr,
Wrong TLD,cbssports.it,,?,,it,
Wrong TLD,cbssports.jp,,?,,jp,
Wrong TLD,cbssports.net,103.224.182.245,,mx92.m1bp.com,net,
Wrong TLD,cbssports.nl,,?,,nl,
Wrong TLD,cbssports.no,,?,,no,
Wrong TLD,cbssports.org,,?,,org,
Wrong TLD,cbssports.ru,,?,,ru,
Wrong TLD,cbssports.se,52.58.78.16,US,UNITED STATES,mx224.m2bp.com,se,
Wrong TLD,cbssports.us,,?,,us,

